,Role,Tags,Additional
963,QA Automation Engineer,"[' Python', ' API Testing', ' Selenium', ' Test automation', ' JIRA', ' English', ' Communication skills', ' Problem solving', ' Attention to detail', ' Behave', ' Gherkin', ' ISTQB Certificate', ' Critical thinking', ' Agile']","{' Job profile ': ' Mainly bugs fixing ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
964,QA Automation Engineer,"[' Python', ' API Testing', ' Selenium', ' Test automation', ' JIRA', ' English', ' Communication skills', ' Problem solving', ' Attention to detail', ' Behave', ' Gherkin', ' ISTQB Certificate', ' Critical thinking', ' Agile']","{' Job profile ': ' Mainly bugs fixing ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
965,QA Automation Engineer,"[' Python', ' API Testing', ' Selenium', ' Test automation', ' JIRA', ' English', ' Communication skills', ' Problem solving', ' Attention to detail', ' Behave', ' Gherkin', ' ISTQB Certificate', ' Critical thinking', ' Agile']","{' Job profile ': ' Mainly bugs fixing ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
966,QA Automation Engineer,"[' REST', ' test automation', ' English', ' Java', ' Python', ' Linux', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
967,QA Engineer,"[' Java', ' Selenium', ' Spring', ' Cucumber', ' TestNG', ' English', ' Proactivity']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
968,QA Engineer,"[' Java', ' Selenium', ' Spring', ' Cucumber', ' TestNG', ' English', ' Proactivity']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
969,QA Engineer,"[' Selenium', ' Python', ' English', ' Team player', ' Communication skills', ' Leadership skills', ' Critical thinking', ' Problem solving', ' CI/CD', ' SCRUM']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
970,QA Engineer,"[' Selenium', ' JIRA', ' Page Object Pattern', ' Git', ' BDD', ' TDD', ' ATDD', ' Cucumber', ' Behat', ' JBehave', ' Gherkin', ' English', ' Polish', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' Java', ' Python', ' Jenkins', ' Linux', ' Docker', ' TravisCI', ' Appium', ' Contact with the client']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes  (4000 PLN) ', ' Freedom to choose tools ': ' Yes '}"
971,QA Engineer,"[' Selenium', ' JIRA', ' Page Object Pattern', ' Git', ' BDD', ' TDD', ' ATDD', ' Cucumber', ' Behat', ' JBehave', ' Gherkin', ' English', ' Polish', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' Java', ' Python', ' Jenkins', ' Linux', ' Docker', ' TravisCI', ' Appium', ' Contact with the client']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes  (4000 PLN) ', ' Freedom to choose tools ': ' Yes '}"
972,QA Engineer,"[' Selenium', ' JIRA', ' Page Object Pattern', ' Git', ' BDD', ' TDD', ' ATDD', ' Cucumber', ' Behat', ' JBehave', ' Gherkin', ' English', ' Polish', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' Java', ' Python', ' Jenkins', ' Linux', ' Docker', ' TravisCI', ' Appium', ' Contact with the client']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes  (4000 PLN) ', ' Freedom to choose tools ': ' Yes '}"
